idfruta;nomefruta;kcal;kJ;Proteína;Lipídeos;Carboidratos;Fibra;Cálcio;Magnésio;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C;;;;;;;;
1;Abacate, cru;96;402;1,2;8,4;6,0;6,3;8;15;0,17;22;0,2;Tr;206;0,15;0,2;Tr;0,04;Tr;Tr;8,7;;;;;;;;
2;Abacaxi, cru;48;202;0,9;0,1;12,3;1,0;22;18;1,62;13;0,3;Tr;131;0,11;0,1;0,17;0,02;Tr;Tr;34,6;;;;;;;;
3;Abacaxi, polpa, congelada;31;128;0,5;0,1;7,8;0,3;14;10;1,02;8;0,4;1;107;0,04;0,1;0,05;Tr;Tr;Tr;1,2;;;;;;;;
4;Abiu, cru;62;261;0,8;0,7;14,9;1,7;6;9;0,08;20;0,2;Tr;128;0,09;0,1;Tr;0,04;0,05;Tr;10,3;;;;;;;;
5;Açaí, polpa, com xarope de guaraná e glucose;110;461;0,7;3,7;21,5;1,7;22;13;3,29;11;0,3;15;75;0,14;0,2;Tr;Tr;0,07;Tr;10,3;;;;;;;;
6;Açaí, polpa, congelada;58;243;0,8;3,9;6,2;2,6;35;17;6,16;16;0,4;5;124;0,18;0,3;Tr;0,04;0,07;Tr;Tr;;;;;;;;
7;Acerola, crua;33;140;0,9;0,2;8,0;1,5;13;13;0,07;9;0,2;Tr;165;0,07;0,1;Tr;0,04;Tr;1,38;941,4;;;;;;;;
8;Acerola, polpa, congelada;33;92;0,6;Tr;5,5;0,7;8;9;0,03;13;0,2;1;112;0,04;0,1;Tr;0,10;Tr;Tr;623,2;;;;;;;;
9;Ameixa, calda, enlatada ;183;765;0,4;Tr;46,9;0,5;13;10;0,10;21;2,2;3;221;0,03;0,1;Tr;0,23;0,37;Tr;4,3;;;;;;;;
10;Ameixa, crua;53;220;0,8;Tr;13,9;2,4;6;5;0,03;14;0,1;Tr;134;0,06;0,1;0,07;Tr;0,03;Tr;7,6;;;;;;;;
11;Ameixa, em calda, enlatada, drenada ;177;742;1,0;0,3;47,7;4,5;39;14;0,20;26;2,7;3;263;0,16;0,2;Tr;0,22;0,08;Tr;5,2;;;;;;;;
12;Atemóia, crua;97;406;1,0;0,3;25,3;2,1;23;25;0,16;23;0,2;1;300;0,17;0,2;0,09;0,07;0,07;1,58;10,1;;;;;;;;
13;Banana, da terra, crua;128;536;1,4;0,2;33,7;1,5;4;24;0,16;26;0,3;Tr;328;0,05;0,2;0,03;0,02;0,14;Tr;15,7;;;;;;;;
14;Banana, doce em barra;280;1172;2,2;0,1;75,7;3,8;12;49;0,84;37;0,6;10;518;0,16;0,3;0,03;Tr;0,06;1,41;Tr;;;;;;;;
15;Banana, figo, crua;105;440;1,1;0,1;27,8;2,8;6;30;0,21;16;0,2;Tr;387;0,06;0,1;0,09;Tr;0,03;Tr;17,5;;;;;;;;
16;Banana, maçã, crua;87;363;1,8;0,1;22,3;2,6;3;24;0,60;29;0,2;Tr;264;0,11;0,1;Tr;Tr;0,14;Tr;10,5;;;;;;;;
17;Banana, nanica, crua;92;383;1,4;0,1;23,8;1,9;3;28;0,14;27;0,3;Tr;376;0,10;0,2;Tr;0,02;0,14;Tr;5,9;;;;;;;;
18;Banana, ouro, crua;112;470;1,5;0,2;29,3;2,0;3;28;0,09;22;0,3;Tr;355;0,08;0,3;Tr;Tr;0,14;Tr;7,6;;;;;;;;
19;Banana, pacova, crua;78;326;1,2;0,1;20,3;2,0;5;30;0,41;20;0,4;1;267;0,06;0,1;0,05;0,03;0,17;Tr;Tr;;;;;;;;
20;Banana, prata, crua;98;411;1,3;0,1;26,0;2,0;8;26;0,42;22;0,4;Tr;358;0,05;0,1;Tr;0,02;0,10;Tr;21,6;;;;;;;;
21;Cacau, cru;74;311;1,0;0,1;19,4;2,2;12;25;0,04;9;0,3;1;72;0,15;0,6;0,25;Tr;0,04;Tr;13,6;;;;;;;;
22;Cajá-Manga, cru;46;191;1,3;Tr;11,4;2,6;13;11;0,05;24;0,2;1;119;0,02;0,2;0,11;Tr;0,05;Tr;26,7;;;;;;;;
23;Cajá, polpa, congelada;26;110;0,6;0,2;6,4;1,4;9;7;0,07;26;0,3;7;148;0,10;0,1;0,04;Tr;Tr;Tr;Tr;;;;;;;;
24;Caju, cru;43;180;1,0;0,3;10,3;1,7;1;10;0,12;16;0,2;3;124;0,07;0,1;Tr;Tr;Tr;Tr;219,3;;;;;;;;
25;Caju, polpa, congelada;37;153;0,5;0,2;9,4;0,8;1;7;0,05;10;0,1;4;88;0,07;0,1;Tr;0,02;Tr;2,25;119,7;;;;;;;;
26;Caju, suco concentrado, envasado;45;189;0,4;0,2;10,7;0,6;1;8;0,06;11;0,1;45;107;0,04;0,1;Tr;0,03;Tr;Tr;138,7;;;;;;;;
27;Caqui, chocolate, cru;71;299;0,4;0,1;19,3;6,5;18;9;0,39;18;0,1;2;164;Tr;0,2;Tr;Tr;0,03;Tr;29,6;;;;;;;;
28;Carambola, crua;46;191;0,9;0,2;11,5;2,0;5;7;0,13;11;0,2;4;133;0,08;0,2;0,12;Tr;Tr;Tr;60,9;;;;;;;;
29;Ciriguela, crua;76;316;1,4;0,4;18,9;3,9;27;18;0,06;49;0,4;2;248;0,12;0,5;0,14;Tr;Tr;Tr;27,0;;;;;;;;
30;Cupuaçu, cru;49;207;1,2;1,0;10,4;3,1;13;18;0,07;21;0,5;3;331;0,07;0,3;0,37;0,04;0,07;4,34;24,5;;;;;;;;
31;Cupuaçu, polpa, congelada;49;204;0,8;0,6;11,4;1,6;5;14;0,17;14;0,3;1;291;0,14;0,2;0,07;0,07;0,05;Tr;10,5;;;;;;;;
32;Figo, cru;41;173;1,0;0,2;10,2;1,8;27;11;0,06;15;0,2;Tr;174;0,13;0,1;0,05;Tr;Tr;Tr;0,8;;;;;;;;
33;Figo, enlatado, em calda;184;771;0,6;0,2;50,3;2,0;33;7;0,16;6;0,5;7;39;0,25;0,1;Tr;Tr;Tr;Tr;5,2;;;;;;;;
34;Fruta-pão, crua;67;281;1,1;0,2;17,2;5,5;34;24;0,04;27;0,2;1;188;0,07;0,1;0,03;Tr;Tr;Tr;9,9;;;;;;;;
35;Goiaba, branca, com casca, crua;52;216;0,9;0,5;12,4;6,3;5;7;0,07;16;0,2;Tr;220;0,04;0,2;Tr;Tr;0,03;Tr;99,2;;;;;;;;
36;Goiaba, doce em pasta;269;1125;0,6;0,0;74,1;3,7;10;6;0,11;54;0,4;4;165;0,06;0,1;0,07;Tr;Tr;Tr;23,1;;;;;;;;
37;Goiaba, doce, cascão;286;1195;0,4;0,1;78,7;4,4;15;10;0,16;28;0,4;11;251;0,08;0,1;Tr;Tr;Tr;1,41;34,3;;;;;;;;
